"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Year","Deaths","Population","Crude Rate"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","3","2020","44","337882","13.02"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","3","","44","337882","13.02"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","3","2020","3","40999","7.32"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","3","","3","40999","7.32"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","3","2020","3","143443","2.09"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","3","","3","143443","2.09"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","4","2020","98","1510593","6.49"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","4","","98","1510593","6.49"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","4","2020","45","349982","12.86"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","4","","45","349982","12.86"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","4","2020","5","41737","11.98"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","4","","5","41737","11.98"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","4","2020","6","150670","3.98"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","4","","6","150670","3.98"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","4","2020","58","1441650","4.02"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","4","","58","1441650","4.02"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","4","2020","31","340411","9.11"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","4","","31","340411","9.11"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","4","2020","3","40373","7.43"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","4","","3","40373","7.43"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","4","2020","2","142431","1.4"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","4","","2","142431","1.4"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","5","2020","87","1521364","5.72"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","5","","87","1521364","5.72"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","5","2020","41","356160","11.51"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","5","","41","356160","11.51"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","5","2020","5","41493","12.05"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","5","","5","41493","12.05"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","5","2020","2","153374","1.3"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","5","","2","153374","1.3"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","5","2020","49","1452476","3.37"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","5","","49","1452476","3.37"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","5","2020","35","344470","10.16"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","5","","35","344470","10.16"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","5","2020","4","40410","9.9"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","5","","4","40410","9.9"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","5","2020","2","144589","1.38"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","5","","2","144589","1.38"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","6","2020","72","1521066","4.73"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","6","","72","1521066","4.73"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","6","2020","45","355334","12.66"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","6","","45","355334","12.66"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","6","2020","0","41630","0"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","6","","0","41630","0"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","6","2020","2","149171","1.34"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","6","","2","149171","1.34"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","6","2020","56","1447272","3.87"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","6","","56","1447272","3.87"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","6","2020","17","343837","4.94"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","6","","17","343837","4.94"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","6","2020","3","40397","7.43"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","6","","3","40397","7.43"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","6","2020","4","141462","2.83"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","6","","4","141462","2.83"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","7","2020","69","1513381","4.56"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","7","","69","1513381","4.56"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","7","2020","29","352949","8.22"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","7","","29","352949","8.22"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","7","2020","4","41304","9.68"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","7","","4","41304","9.68"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","7","2020","0","151621","0"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","7","","0","151621","0"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","7","2020","46","1445525","3.18"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","7","","46","1445525","3.18"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","7","2020","25","341670","7.32"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","7","","25","341670","7.32"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","7","2020","1","40094","2.49"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","7","","1","40094","2.49"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","7","2020","1","143209","0.7"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","7","","1","143209","0.7"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","8","2020","58","1520939","3.81"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","8","","58","1520939","3.81"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","8","2020","27","353050","7.65"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","8","","27","353050","7.65"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","8","2020","2","42253","4.73"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","8","","2","42253","4.73"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","8","2020","1","145713","0.69"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","8","","1","145713","0.69"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","8","2020","37","1452754","2.55"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","8","","37","1452754","2.55"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","8","2020","28","340607","8.22"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","8","","28","340607","8.22"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","8","2020","3","40960","7.32"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","8","","3","40960","7.32"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","8","2020","2","138509","1.44"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","8","","2","138509","1.44"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","9","2020","63","1547038","4.07"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","9","","63","1547038","4.07"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","9","2020","34","354884","9.58"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","9","","34","354884","9.58"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","9","2020","1","40812","2.45"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","9","","1","40812","2.45"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","9","2020","0","143217","0"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","9","","0","143217","0"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","9","2020","38","1474595","2.58"
