"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Year","Deaths","Population","Crude Rate"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","18","","658","344550","190.97"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","18","2020","41","37967","107.99"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","18","","41","37967","107.99"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","18","2020","42","134634","31.2"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","18","","42","134634","31.2"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","18","2020","394","1532371","25.71"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","18","","394","1532371","25.71"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","18","2020","136","335362","40.55"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","18","","136","335362","40.55"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","18","2020","15","36646","40.93"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","18","","15","36646","40.93"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","18","2020","21","133469","15.73"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","18","","21","133469","15.73"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","19","2020","1486","1644075","90.39"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","19","","1486","1644075","90.39"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","19","2020","796","356292","223.41"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","19","","796","356292","223.41"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","19","2020","43","38247","112.43"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","19","","43","38247","112.43"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","19","2020","63","142449","44.23"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","19","","63","142449","44.23"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","19","2020","476","1568249","30.35"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","19","","476","1568249","30.35"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","19","2020","144","345963","41.62"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","19","","144","345963","41.62"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","19","2020","13","37110","35.03"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","19","","13","37110","35.03"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","19","2020","24","140000","17.14"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","19","","24","140000","17.14"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","20","2020","1646","1672931","98.39"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","20","","1646","1672931","98.39"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","20","2020","801","366484","218.56"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","20","","801","366484","218.56"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","20","2020","51","39260","129.9"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","20","","51","39260","129.9"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","20","2020","72","142757","50.44"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","20","","72","142757","50.44"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","20","2020","474","1589577","29.82"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","20","","474","1589577","29.82"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","20","2020","154","355051","43.37"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","20","","154","355051","43.37"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","20","2020","21","37755","55.62"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","20","","21","37755","55.62"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","20","2020","15","140757","10.66"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","20","","15","140757","10.66"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","21","2020","1867","1651780","113.03"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","21","","1867","1651780","113.03"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","21","2020","880","357864","245.9"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","21","","880","357864","245.9"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","21","2020","51","38025","134.12"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","21","","51","38025","134.12"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","21","2020","75","141155","53.13"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","21","","75","141155","53.13"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","21","2020","563","1571724","35.82"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","21","","563","1571724","35.82"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","21","2020","188","347144","54.16"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","21","","188","347144","54.16"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","21","2020","25","37077","67.43"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","21","","25","37077","67.43"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","21","2020","28","138381","20.23"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","21","","28","138381","20.23"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","22","2020","1942","1649164","117.76"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","22","","1942","1649164","117.76"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","22","2020","879","359105","244.78"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","22","","879","359105","244.78"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","22","2020","47","37995","123.7"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","22","","47","37995","123.7"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","22","2020","86","146707","58.62"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","22","","86","146707","58.62"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","22","2020","512","1570412","32.6"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","22","","512","1570412","32.6"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","22","2020","196","348500","56.24"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","22","","196","348500","56.24"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","22","2020","25","37122","67.35"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","22","","25","37122","67.35"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","22","2020","17","144015","11.8"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","22","","17","144015","11.8"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","23","2020","2002","1652674","121.14"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","23","","2002","1652674","121.14"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","23","2020","895","357166","250.58"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","23","","895","357166","250.58"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","23","2020","62","37847","163.82"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","23","","62","37847","163.82"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","23","2020","84","153936","54.57"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","23","","84","153936","54.57"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","23","2020","609","1578165","38.59"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","23","","609","1578165","38.59"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","23","2020","239","348135","68.65"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","23","","239","348135","68.65"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","23","2020","17","36706","46.31"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","23","","17","36706","46.31"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","23","2020","28","150591","18.59"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","23","","28","150591","18.59"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","24","2020","2135","1671640","127.72"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","24","","2135","1671640","127.72"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","24","2020","897","357093","251.2"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","24","","897","357093","251.2"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","24","2020","75","38004","197.35"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","24","","75","38004","197.35"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","24","2020","56","161259","34.73"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","24","","56","161259","34.73"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","24","2020","626","1588642","39.4"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","24","","626","1588642","39.4"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","24","2020","200","348340","57.42"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","24","","200","348340","57.42"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","24","2020","18","36459","49.37"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","24","","18","36459","49.37"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","24","2020","28","157356","17.79"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","24","","28","157356","17.79"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","25","2020","2226","1703659","130.66"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","25","","2226","1703659","130.66"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","25","2020","930","374625","248.25"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","25","","930","374625","248.25"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","25","2020","69","38647","178.54"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","25","","69","38647","178.54"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","25","2020","83","166344","49.9"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","25","","83","166344","49.9"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","25","2020","689","1614687","42.67"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","25","","689","1614687","42.67"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","25","2020","233","363417","64.11"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","25","","233","363417","64.11"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","25","2020","23","37149","61.91"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","25","","23","37149","61.91"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","25","2020","19","162478","11.69"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","25","","19","162478","11.69"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","26","2020","2340","1730738","135.2"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","26","","2340","1730738","135.2"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","26","2020","938","389908","240.57"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","26","","938","389908","240.57"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","26","2020","75","39332","190.68"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","26","","75","39332","190.68"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","26","2020","71","172022","41.27"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","26","","71","172022","41.27"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","26","2020","750","1637898","45.79"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","26","","750","1637898","45.79"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","26","2020","206","378628","54.41"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","26","","206","378628","54.41"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","26","2020","22","38226","57.55"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","26","","22","38226","57.55"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","26","2020","25","168759","14.81"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","26","","25","168759","14.81"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","27","2020","2445","1755308","139.29"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","27","","2445","1755308","139.29"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","27","2020","1009","401029","251.6"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","27","","1009","401029","251.6"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","27","2020","79","40639","194.39"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","27","","79","40639","194.39"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","27","2020","80","175887","45.48"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","27","","80","175887","45.48"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","27","2020","808","1655342","48.81"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","27","","808","1655342","48.81"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","27","2020","218","386448","56.41"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","27","","218","386448","56.41"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","27","2020","28","38871","72.03"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","27","","28","38871","72.03"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","27","2020","18","175094","10.28"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","27","","18","175094","10.28"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","28","2020","2645","1796734","147.21"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","28","","2645","1796734","147.21"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","28","2020","981","406261","241.47"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","28","","981","406261","241.47"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","28","2020","67","42128","159.04"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","28","","67","42128","159.04"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","28","2020","107","183135","58.43"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","28","","107","183135","58.43"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","28","2020","784","1701786","46.07"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","28","","784","1701786","46.07"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","28","2020","270","396373","68.12"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","28","","270","396373","68.12"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","28","2020","31","39585","78.31"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","28","","31","39585","78.31"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","28","2020","24","184999","12.97"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","28","","24","184999","12.97"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","29","2020","2778","1818766","152.74"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","29","","2778","1818766","152.74"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","29","2020","957","406253","235.57"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","29","","957","406253","235.57"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","29","2020","93","41827","222.34"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","29","","93","41827","222.34"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","29","2020","82","191884","42.73"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","29","","82","191884","42.73"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","29","2020","881","1737630","50.7"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","29","","881","1737630","50.7"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","29","2020","249","403933","61.64"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","29","","249","403933","61.64"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","29","2020","34","38964","87.26"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","29","","34","38964","87.26"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","29","2020","19","195850","9.7"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","29","","19","195850","9.7"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","30","2020","2891","1815340","159.25"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","30","","2891","1815340","159.25"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","30","2020","963","395790","243.31"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","30","","963","395790","243.31"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","30","2020","91","40780","223.15"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","30","","91","40780","223.15"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","30","2020","83","194139","42.75"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","30","","83","194139","42.75"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","30","2020","906","1737838","52.13"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","30","","906","1737838","52.13"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","30","2020","229","399153","57.37"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","30","","229","399153","57.37"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","30","2020","43","37971","113.24"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","30","","43","37971","113.24"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","30","2020","17","200070","8.5"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","30","","17","200070","8.5"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","31","2020","2808","1747564","160.68"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","31","","2808","1747564","160.68"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","31","2020","918","367833","249.57"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","31","","918","367833","249.57"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","31","2020","77","38896","197.96"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","31","","77","38896","197.96"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","31","2020","76","191744","39.64"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","31","","76","191744","39.64"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","31","2020","861","1669219","51.58"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","31","","861","1669219","51.58"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","31","2020","216","375953","57.45"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","31","","216","375953","57.45"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","31","2020","24","35642","67.34"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","31","","24","35642","67.34"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","31","2020","32","200489","15.96"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","31","","32","200489","15.96"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","32","2020","2764","1718107","160.87"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","32","","2764","1718107","160.87"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","32","2020","880","343705","256.03"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","32","","880","343705","256.03"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","32","2020","59","37922","155.58"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","32","","59","37922","155.58"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","32","2020","84","186650","45"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","32","","84","186650","45"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","32","2020","968","1643808","58.89"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","32","","968","1643808","58.89"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","32","2020","226","354053","63.83"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","32","","226","354053","63.83"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","32","2020","29","34722","83.52"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","32","","29","34722","83.52"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","32","2020","18","195769","9.19"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","32","","18","195769","9.19"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","33","2020","2747","1697285","161.85"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","33","","2747","1697285","161.85"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","33","2020","776","327999","236.59"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","33","","776","327999","236.59"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","33","2020","66","36529","180.68"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","33","","66","36529","180.68"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","33","2020","79","182359","43.32"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","33","","79","182359","43.32"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","33","2020","902","1621408","55.63"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","33","","902","1621408","55.63"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","33","2020","244","341302","71.49"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","33","","244","341302","71.49"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","33","2020","44","33650","130.76"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","33","","44","33650","130.76"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","33","2020","31","192167","16.13"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","33","","31","192167","16.13"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","34","2020","2762","1707896","161.72"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","34","","2762","1707896","161.72"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","34","2020","729","319724","228.01"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","34","","729","319724","228.01"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","34","2020","60","36246","165.54"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","34","","60","36246","165.54"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","34","2020","67","182745","36.66"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","34","","67","182745","36.66"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","34","2020","905","1633924","55.39"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","34","","905","1633924","55.39"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","34","2020","202","335873","60.14"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","34","","202","335873","60.14"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","34","2020","40","33450","119.58"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","34","","40","33450","119.58"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","34","2020","21","192689","10.9"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","34","","21","192689","10.9"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","35","2020","2760","1716862","160.76"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","35","","2760","1716862","160.76"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","35","2020","702","315798","222.29"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","35","","702","315798","222.29"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","35","2020","79","35577","222.05"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","35","","79","35577","222.05"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","35","2020","92","182677","50.36"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","35","","92","182677","50.36"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","35","2020","949","1651673","57.46"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","35","","949","1651673","57.46"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","35","2020","213","334615","63.66"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","35","","213","334615","63.66"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","35","2020","26","33478","77.66"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","35","","26","33478","77.66"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","35","2020","22","196067","11.22"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","35","","22","196067","11.22"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","36","2020","2708","1654844","163.64"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","36","","2708","1654844","163.64"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","36","2020","679","298739","227.29"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","36","","679","298739","227.29"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","36","2020","53","34567","153.33"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","36","","53","34567","153.33"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","36","2020","80","179644","44.53"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","36","","80","179644","44.53"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","36","2020","966","1603721","60.23"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","36","","966","1603721","60.23"
